page_id,status,title,url,html_file,page_class,confidence,object_id_suggested,notes
be8ec09b418b6aa0,200,Foreign Languages Centre,https://www.htw-berlin.de/en/studies/foreign-languages-centre/,snapshots_raw/be8ec09b418b6aa0.html,university_profile,low,university_profile-foreign-languages-centre,"This page presents the Foreign Languages Centre as an institutional unit at HTW Berlin, describing its role, offerings, and relevance to students’ studies. It is descriptive and institutional, not a specific curriculum, degree program, or application process."
90340e9e6fea312a,200,Visa / Residence Permit,https://www.htw-berlin.de/en/international/wege-an-die-htw-berlin/international-degree-seeking-students/visa-residende-permit/,snapshots_raw/90340e9e6fea312a.html,application_route_rule,low,application_route_rule-visa-residence-permit-international-students,"This page explains visa and residence permit requirements for international degree-seeking students, outlining mandatory steps and conditions that apply depending on nationality and study purpose. It defines an external but essential route condition for studying at HTW Berlin rather than an internal application workflow."
ca61f7f5a050253b,200,Disadvantage compensation,https://www.htw-berlin.de/en/organisational-units/central-offices/centre-for-student-advisory-career-services/barrier-free-education/disadvantage-compensation/,snapshots_raw/ca61f7f5a050253b.html,accessibility_support,low,accessibility_support,"This page explains disadvantage compensation measures for students with disabilities or chronic conditions, including eligibility, scope, and how support is provided within studies. It is student-facing, affects study conditions, and is part of barrier-free education support rather than admissions or application routing."
3a0b648307aa0254,200,Ukraine crisis,https://www.htw-berlin.de/en/international/ukraine-crisis/,snapshots_raw/3a0b648307aa0254.html,special_category,low,special_category-ukraine-crisis-support,"This page provides special, time-bound information and support measures related to the Ukraine crisis, including guidance for affected students and applicants. It does not fit standard admissions, program, or rule categories and represents an exceptional institutional response."
a249e760c47e58d8,200,All gender restrooms,https://www.htw-berlin.de/en/campus/campus-fuer-alle/wcs-fuer-alle/,snapshots_raw/a249e760c47e58d8.html,accessibility_support,low,accessibility_supaccessibility_support-accessible-restrooms-campusport,Informational accessibility content describing the availability of accessible restrooms on campus. Provided for awareness and planning purposes only and does not require or trigger contact with student services.
8360fcbb3d862c50,200,Terms of use for the Room of Silence,https://www.htw-berlin.de/en/campus/campus-for-all/retreats/nutzungregeln-fuer-den-raum-der-stille/,snapshots_raw/8360fcbb3d862c50.html,accessibility_support,low,accessibility_support-room-of-silence-usage-rules,"This page describes the usage rules for the “Room of Silence,” a quiet retreat space on campus intended for reflection, prayer, or rest. It is student-facing, supports inclusive campus access, and is informational in nature rather than an academic rule or administrative process."
3e59be28a0d6a8f2,200,Barrier-free campus,https://www.htw-berlin.de/en/campus/campus-fuer-alle/barrier-free-campus/,snapshots_raw/3e59be28a0d6a8f2.html,accessibility_support,low,accessibility_support-barrier-free-campus,"This page provides an overview of barrier-free and accessible campus facilities and services at HTW Berlin. It acts as a central entry point for accessibility-related information, linking to specific support topics and infrastructure for inclusive campus access."
c594a0481540ba7b,200,Digital Twin as a key component in Smart Environments,https://www.htw-berlin.de/en/international/intercultural-exchange/international-winter-and-summer-schools/digital-twin-as-a-key-component-in-smart-environments/,snapshots_raw/c594a0481540ba7b.html,special_category,low,special_category-international-winter-summer-school-digital-twin,"This page describes a concrete international winter/summer school offering with defined academic content and participation context. It is student-facing, program-specific, and distinct from general partnership or alliance information, but does not constitute a full degree program."
6c6981f3984a12b1,200,International Winter and Summer Schools,https://www.htw-berlin.de/en/international/intercultural-exchange/international-winter-and-summer-schools/,snapshots_raw/6c6981f3984a12b1.html,special_category,low,special_category-international-winter-summer-schools,"Overview page for international winter and summer school offerings. Student-facing, educational in nature, and serves as an entry point to concrete short-term study programs rather than institutional partnerships."
bd4a47fe530549d6,200,Intercultural Exchange,https://www.htw-berlin.de/en/international/interkultureller-austausch/,snapshots_raw/bd4a47fe530549d6.html,special_category,low,special_category-intercultural-exchange,"Overview of intercultural exchange opportunities for students, including international experiences and exchange-related activities. Informational but clearly student-oriented and relevant to study enrichment."
